City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Vigrestad,NO,2022-09-02 03:35:38,58.5667,5.7,54.59,84,33,4.79
130,Taltal,CL,2022-09-02 03:35:39,-25.4,-70.4833,57.92,65,0,3.38
131,Lebu,CL,2022-09-02 03:32:53,-37.6167,-73.65,46.13,90,9,15.59
132,Kununurra,AU,2022-09-02 03:31:34,-15.7667,128.7333,87.78,42,0,17.27
133,Bandundu,CD,2022-09-02 03:35:39,-3.3167,17.3667,70.86,94,100,4.7
134,Bambous Virieux,MU,2022-09-02 03:35:39,-20.3428,57.7575,68.25,77,20,4.61
135,Pevek,RU,2022-09-02 03:35:39,69.7008,170.3133,33.73,75,43,1.54
136,Korla,CN,2022-09-02 03:35:40,41.7597,86.1469,78.35,27,0,3.89
137,Nhulunbuy,AU,2022-09-02 03:35:40,-12.2333,136.7667,84.81,61,75,18.41
138,Wanning,CN,2022-09-02 03:35:40,18.8003,110.3967,86.7,71,74,3.58
139,Castro,BR,2022-09-02 03:35:40,-24.7911,-50.0119,55.78,70,0,4.03
140,Puerto Ayora,EC,2022-09-02 03:35:41,-0.7393,-90.3518,68.56,93,73,5.01
141,Broome,US,2022-09-02 03:35:41,42.2506,-75.833,55.78,90,0,3.44
142,Meadow Lake,US,2022-09-02 03:35:41,34.8014,-106.5436,78.3,38,41,5.91
143,Shimoda,JP,2022-09-02 03:35:42,34.6667,138.95,75.56,81,35,8.88
144,Kudahuvadhoo,MV,2022-09-02 03:35:42,2.6708,72.8944,82.31,73,89,19.71
145,Moussoro,TD,2022-09-02 03:35:42,13.6408,16.4901,79.14,76,100,9.08
146,Margate,GB,2022-09-02 03:35:42,51.3813,1.3862,67.3,78,97,3.0
147,Yeniseysk,RU,2022-09-02 03:35:43,58.4497,92.1703,50.41,64,100,4.88
148,Khatanga,RU,2022-09-02 03:35:43,71.9667,102.5,37.4,97,100,14.88
149,Mwene-Ditu,CD,2022-09-02 03:35:43,-7.0,23.45,68.14,76,85,3.56
150,Hasaki,JP,2022-09-02 03:35:43,35.7333,140.8333,77.29,90,97,18.84
151,Tautira,PF,2022-09-02 03:35:44,-17.7333,-149.15,77.56,73,35,16.35
152,Bethel,US,2022-09-02 03:35:44,41.3712,-73.414,68.36,60,0,9.22
153,Mulege,MX,2022-09-02 03:35:44,26.8833,-111.9833,83.64,75,98,2.21
154,Kodiak,US,2022-09-02 03:35:44,57.79,-152.4072,54.91,76,100,4.61
155,Vostok,RU,2022-09-02 03:35:45,46.4856,135.8833,62.58,46,0,9.91
156,Yulara,AU,2022-09-02 03:35:45,-25.2406,130.9889,69.35,25,2,19.13
157,Roald,NO,2022-09-02 03:35:45,62.5833,6.1333,58.75,87,100,8.05
158,Esperance,AU,2022-09-02 03:35:45,-33.8667,121.9,59.34,68,100,17.9
159,Sundumbili,ZA,2022-09-02 03:35:46,-29.1337,31.3975,57.11,51,0,6.67
160,Chokurdakh,RU,2022-09-02 03:35:46,70.6333,147.9167,48.24,49,54,16.87
161,Saint George,US,2022-09-02 03:34:40,37.1041,-113.5841,99.19,17,0,6.91
162,Bogorodskoye,RU,2022-09-02 03:35:46,56.55,37.8833,41.77,90,99,12.84
163,Ponta Do Sol,PT,2022-09-02 03:35:46,32.6667,-17.1,75.0,83,36,3.27
164,Honolulu,US,2022-09-02 03:30:52,21.3069,-157.8583,84.02,61,75,13.8
165,Vilyuysk,RU,2022-09-02 03:35:47,63.7553,121.6247,49.91,51,94,5.37
166,Hanko,FI,2022-09-02 03:35:47,59.8333,22.95,38.14,81,9,16.13
167,Zhezkazgan,KZ,2022-09-02 03:35:47,47.8043,67.7144,75.18,31,0,4.47
168,Sandwick,GB,2022-09-02 03:35:48,60.0,-1.25,55.22,100,100,6.91
169,Kashan,IR,2022-09-02 03:35:48,33.9831,51.4364,85.1,10,0,2.21
170,Kandalaksha,RU,2022-09-02 03:35:48,67.162,32.4123,42.1,81,80,12.93
