City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Ponta Delgada,PT,73.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
254,Wanning,CN,83.12,broken clouds,18.8003,110.3967,Paradise Hotel
255,Katsuura,JP,83.44,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
256,Isangel,VU,73.51,heavy intensity rain,-19.55,169.2667,Tanna Lodge
258,General Roca,AR,69.21,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
259,Ormara,PK,80.65,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
260,Salalah,OM,76.71,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
262,Ginir,ET,59.04,light rain,7.1333,40.7,Sura Dare Village
263,Bonavista,CA,59.97,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
264,Pires Do Rio,BR,73.26,broken clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
265,Chadiza,ZM,62.4,clear sky,-14.0678,32.4392,Sankhani Guest House
267,Antibes,FR,74.68,clear sky,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
269,Esperance,AU,57.04,broken clouds,-33.8667,121.9,Hospitality Esperance
273,Guia Lopes Da Laguna,BR,68.79,overcast clouds,-21.4578,-56.1142,Donna Lu
275,Goderich,CA,70.12,overcast clouds,43.7501,-81.7165,Harmony Inn
276,Moron,AR,61.97,clear sky,-34.6534,-58.6198,Hotel Morón
278,Margate,GB,65.3,light rain,51.3813,1.3862,Premier Inn Margate hotel
279,Saurimo,AO,68.86,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
280,Sungurlu,TR,58.51,overcast clouds,40.1675,34.3739,Sungurlu Ogretmenevi
281,Tateyama,JP,82.92,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
284,Petatlan,MX,78.1,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
285,Oriximina,BR,82.04,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
288,Dasoguz,TM,71.55,clear sky,41.8363,59.9666,Hotel Erik
289,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
290,Camacha,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
291,Bela,IN,82.6,broken clouds,25.9333,81.9833,Raj Bhawan
292,Talavera,PH,81.68,overcast clouds,15.6167,120.9333,R&G's Resort
294,Numan,NG,72.39,light rain,9.4667,12.0333,Zangun Motel
295,Havelock,US,84.18,broken clouds,34.8791,-76.9013,Sherwood Motel
296,Kita,ML,73.92,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
297,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,39 On Nile Guest House
301,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
303,Neyshabur,IR,69.57,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
305,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
306,Sibolga,ID,79.92,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
308,Narasannapeta,IN,81.7,scattered clouds,18.4167,84.05,AVK events and catering
309,Aguimes,ES,70.66,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
311,Mudbidri,IN,76.62,fog,13.0833,74.9833,Hotel Navami Comforts
313,Grenada,ES,66.67,clear sky,37.1882,-3.6067,HOTEL REINA CRISTINA
315,Dharchula,IN,67.3,clear sky,29.85,80.5333,Mahara Hotel
316,Severo-Kurilsk,RU,56.08,broken clouds,50.6789,156.125,Kak Doma
317,Tura,IN,76.15,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
318,Tuskegee,US,79.95,overcast clouds,32.424,-85.6916,Macon Motel
319,Sterling,US,76.12,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
321,Mitsamiouli,KM,74.16,clear sky,-11.3847,43.2844,Foyer ADM
324,Tingo Maria,PE,69.76,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
325,Carutapera,BR,78.82,scattered clouds,-1.195,-46.02,Lidera
326,Gyanpur,IN,82.35,overcast clouds,25.35,82.4667,Shyam Dhar Yadav Shiv dhar Yadav
329,Gat,IL,74.39,clear sky,31.61,34.7642,OlusHome
330,High Level,CA,59.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
331,Astoria,US,69.69,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
336,Mandalgovi,MN,58.1,clear sky,45.7625,106.2708,В.Ганбат
337,Waingapu,ID,83.12,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
340,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
341,Okha,RU,57.83,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
342,Caluquembe,AO,60.73,few clouds,-13.7833,14.6833,Hotel Kalukembe
347,Port Lincoln,AU,58.59,clear sky,-34.7333,135.8667,Port Lincoln Hotel
348,Saint-Francois,FR,63.84,scattered clouds,46.4154,3.9054,Maison Vin d'Hus
349,Nampula,MZ,60.62,clear sky,-15.1165,39.2666,Ruby Backpackers
350,Touros,BR,75.45,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
